name,title,advisor
Jay Leek,"Managing Partner & Co-Founder, Syn Ventures",true
Gil Zimmermann,"Managing Partner & Co-Founder, FXP",true
Tsahy Shapsa,"Managing Partner & Co-Founder, FXP",true
Ron Zalkind,"Managing Partner & Co-Founder, FXP",true
Art Coviello,"CEO, RSA Security Managing Partner, Syn Ventures",true
Gerhard Eschelbeck,"CSO, Kodiak Robotics Former CISO, Google",true
Dan Burns,"Former CEO, Optiv",true
Alex Tosheff,"Former CISO, PayPal & VMware Venture Partner, SYN Venture",true
Marcio Lempert,"Venture Partner, SYN Ventures",true
Ofer Ben Noon,"CEO, Talon Security (acquired by Palo Alto Networks)",true
Yossi Matias,"VP Research, Google",true
Dan Benjamin,"CEO, Dig Security (acquired by Palo Alto Networks)",true
